Branch,Client,balance_account,balance
16441,81760,3317,2152210.98
16442,81761,3317,2167154.57
16443,81762,3317,2182098.15
16444,81763,3317,2197041.74
16445,81764,3317,2211985.32
16446,81765,3317,2226928.91
16447,81766,3317,2241872.49
16448,81767,3317,2256816.08
16449,81768,3317,2271759.66
16450,81769,3317,2286703.25
16451,81770,3317,2301646.83
16452,81771,3317,2316590.41
16453,81772,3317,2331534
16454,81773,3317,2346477.58
16455,81774,3317,2361421.17
16456,81775,3317,2376364.75
16457,81776,3317,2391308.34
16458,81777,3317,2406251.92
16459,81778,3317,2421195.51
16460,81779,3317,2436139.09
16461,81780,3317,2451082.67
16462,81781,3317,2466026.26
16463,81782,3317,2480969.84
16464,81783,3317,2495913.43
16465,81784,3317,2510857.01
16466,81785,3317,2525800.6
16467,81786,3317,2540744.18
16468,81787,3317,2555687.77
16469,81788,3317,2570631.35
16470,81789,3317,2585574.93
16471,81790,3317,2600518.52
16472,81791,3317,2615462.1
16473,81792,3317,2630405.69
16474,81793,3317,2645349.27
16475,81794,3317,2660292.86
16476,81795,3317,2675236.44
16477,81796,3317,2690180.03
16478,81797,3317,2705123.61
16479,81798,3317,2720067.19
16480,81799,3317,2735010.78
16481,81800,3317,2749954.36
16482,81801,3317,2764897.95
16483,81802,3317,2779841.53
16484,81803,3317,2794785.12
16485,81804,3317,2809728.7
16486,81805,3317,2824672.29
16487,81806,3317,2839615.87
16488,81807,3317,2854559.45
16489,81808,3317,2869503.04
16490,81809,3317,2884446.62
16491,81810,3317,2899390.21
16492,81811,3317,2914333.79
16493,81812,3317,2929277.38
16494,81813,3317,2944220.96
16495,81814,3317,2959164.55
16496,81815,3317,2974108.13
16497,81816,3317,2989051.71
16498,81817,3317,3003995.3
16499,81818,3317,3018938.88
16500,81819,3317,3033882.47
16501,81820,3317,3048826.05
16502,81821,3317,3063769.64
16503,81822,3317,3078713.22
16504,81823,3317,3093656.81
16505,81824,3317,3108600.39
16506,81825,3317,3123543.97
16507,81826,3317,3138487.56
16508,81827,3317,3153431.14
16509,81828,3317,3168374.73
16510,81829,3317,3183318.31
16511,81830,3317,3198261.9
16512,81831,3317,3213205.48
16513,81832,3317,3228149.07
16514,81833,3317,3243092.65
16515,81834,3317,3258036.23
16516,81835,3317,3272979.82
16517,81836,3317,3287923.4
16518,81837,3317,3302866.99
16519,81838,3317,3317810.57
16520,81839,3317,3332754.16
16521,81840,3317,3347697.74
16522,81841,3317,3362641.33
16523,81842,3317,3377584.91
16524,81843,3317,3392528.49
16525,81844,3317,3407472.08
16526,81845,3317,3422415.66
16527,81846,3317,3437359.25
16528,81847,3317,3452302.83
16529,81848,3317,3467246.42
16530,81849,3317,3482190
16531,81850,3317,3497133.59
16532,81851,3317,3512077.17
16533,81852,3317,3527020.75
16534,81853,3317,3541964.34
16535,81854,3317,3556907.92
16536,81855,3317,3571851.51
16537,81856,3317,3586795.09
16538,81857,3317,3601738.68
16539,81858,3317,3616682.26
16540,81859,3317,3631625.85
16541,81860,3317,3646569.43
16542,81861,3317,3661513.01
16543,81862,3317,3676456.6
16544,81863,3317,3691400.18
16545,81864,3317,3706343.77
16546,81865,3317,3721287.35
16547,81866,3317,3736230.94
16548,81867,3317,3751174.52
16549,81868,3317,3766118.11
16550,81869,3317,3781061.69
16551,81870,3317,3796005.27
16552,81871,3317,3810948.86
16553,81872,3317,3825892.44
16554,81873,3317,3840836.03
16555,81874,3317,3855779.61
16556,81875,3317,3870723.2
16557,81876,3317,3885666.78
16558,81877,3317,3900610.37
16559,81878,3317,3915553.95
16560,81879,3317,3930497.53
16561,81880,3317,3945441.12
16562,81881,3317,3960384.7
16563,81882,3317,3975328.29
16564,81883,3317,3990271.87
16565,81884,3317,4005215.46
16566,81885,3317,4020159.04
16567,81886,3317,4035102.63
16568,81887,3317,4050046.21
16569,81888,3317,4064989.79
16570,81889,3317,4079933.38
16571,81890,3317,4094876.96
16572,81891,3317,4109820.55
16573,81892,3317,4124764.13
16574,81893,3317,4139707.72
16575,81894,3317,4154651.3
16576,81895,3317,4169594.89
16577,81896,3317,4184538.47
16578,81897,3317,4199482.05
16579,81898,3317,4214425.64
16580,81899,3317,4229369.22
16581,81900,3317,4244312.81
16582,81901,3317,4259256.39
16583,81902,3317,4274199.98
16584,81903,3317,4289143.56
16585,81904,3317,4304087.15
16586,81905,3317,4319030.73
16587,81906,3317,4333974.31
16588,81907,3317,4348917.9
16589,81908,3317,4363861.48
16590,81909,3317,4378805.07
16591,81910,3317,4393748.65
16592,81911,3317,4408692.24
16593,81912,3317,4423635.82
16594,81913,3317,4438579.41
16595,81914,3317,4453522.99
16596,81915,3317,4468466.57
16597,81916,3317,4483410.16
16598,81917,3317,4498353.74
16599,81918,3317,4513297.33
16600,81919,3317,4528240.91
16601,81920,3317,4543184.5
16602,81921,3317,4558128.08
16603,81922,3317,4573071.67
16604,81923,3317,4588015.25
16605,81924,3317,4602958.83
16606,81925,3317,4617902.42
16607,81926,3317,4632846
16608,81927,3317,4647789.59
16609,81928,3317,4662733.17
16610,81929,3317,4677676.76
16611,81930,3317,4692620.34
16612,81931,3317,4707563.93
16613,81932,3317,4722507.51
16614,81933,3317,4737451.1
16615,81934,3317,4752394.68
16616,81935,3317,4767338.26
16617,81936,3317,4782281.85
16618,81937,3317,4797225.43
16619,81938,3317,4812169.02
16620,81939,3317,4827112.6
16621,81940,3317,4842056.19
16622,81941,3317,4856999.77
16623,81942,3317,4871943.36
16624,81943,3317,4886886.94
16625,81944,3317,4901830.52
16626,81945,3317,4916774.11
16627,81946,3317,4931717.69
16628,81947,3317,4946661.28
16629,81948,3317,4961604.86
16630,81949,3317,4976548.45
16631,81950,3317,4991492.03
16632,81951,3317,5006435.62
16633,81952,3317,5021379.2
16634,81953,3317,5036322.78
16635,81954,3317,5051266.37
16636,81955,3317,5066209.95
16637,81956,3317,5081153.54
16638,81957,3317,5096097.12
16639,81958,3317,5111040.71
16640,81959,3317,5125984.29
16641,81960,3317,5140927.88
16642,81961,3317,5155871.46
16643,81962,3317,5170815.04
16644,81963,3317,5185758.63
16645,81964,3317,5200702.21
16646,81965,3317,5215645.8
16647,81966,3317,5230589.38
16648,81967,3317,5245532.97
16649,81968,3317,5260476.55
16650,81969,3317,5275420.14
16651,81970,3317,5290363.72
16652,81971,3317,5305307.3
16653,81972,3317,5320250.89
16654,81973,3317,5335194.47
16655,81974,3317,5350138.06
16656,81975,3317,5365081.64
16657,81976,3317,5380025.23
16658,81977,3317,5394968.81
16659,81978,3317,5409912.4
16660,81979,3317,5424855.98
16661,81980,3317,5439799.56
16662,81981,3317,5454743.15
16663,81982,3317,5469686.73
16664,81983,3317,5484630.32
16665,81984,3317,5499573.9
16666,81985,3317,5514517.49
16667,81986,3317,5529461.07
16668,81987,3317,5544404.66
16669,81988,3317,5559348.24
16670,81989,3317,5574291.82
16671,81990,3317,5589235.41
16672,81991,3317,5604178.99
16673,81992,3317,5619122.58
16674,81993,3317,5634066.16
16675,81994,3317,5649009.75
16676,81995,3317,5663953.33
16677,81996,3317,5678896.92
16678,81997,3317,5693840.5
16679,81998,3317,5708784.08
16680,81999,3317,5723727.67
16681,82000,3317,5738671.25
16682,82001,3317,5753614.84
16683,82002,3317,5768558.42
16684,82003,3317,5783502.01
16685,82004,3317,5798445.59
16686,82005,3317,5813389.18
16687,82006,3317,5828332.76
16688,82007,3317,5843276.34
16689,82008,3317,5858219.93
16690,82009,3317,5873163.51
16691,82010,3317,5888107.1
16692,82011,3317,5903050.68
16693,82012,3317,5917994.27
16694,82013,3317,5932937.85
16695,82014,3317,5947881.44
16696,82015,3317,5962825.02
16697,82016,3317,5977768.6
16698,82017,3317,5992712.19
16699,82018,3317,6007655.77
16700,82019,3317,6022599.36
16701,82020,3317,6037542.94
16702,82021,3317,6052486.53
16703,82022,3317,6067430.11
16704,82023,3317,6082373.7
16705,82024,3317,6097317.28
16706,82025,3317,6112260.86
16707,82026,3317,6127204.45
16708,82027,3317,6142148.03
16709,82028,3317,6157091.62
16710,82029,3317,6172035.2
16711,82030,3317,6186978.79
16712,82031,3317,6201922.37
16713,82032,3317,6216865.96
16714,82033,3317,6231809.54
16715,82034,3317,6246753.12
16716,82035,3317,6261696.71
16717,82036,3317,6276640.29
16718,82037,3317,6291583.88
16719,82038,3317,6306527.46
16720,82039,3317,6321471.05
16721,82040,3317,6336414.63
16722,82041,3317,6351358.22
16723,82042,3317,6366301.8
16724,82043,3317,6381245.38
16725,82044,3317,6396188.97
16726,82045,3317,6411132.55
16727,82046,3317,6426076.14
16728,82047,3317,6441019.72
16729,82048,3317,6455963.31
16730,82049,3317,6470906.89
16731,82050,3317,6485850.48
16732,82051,3317,6500794.06
16733,82052,3317,6515737.64
16734,82053,3317,6530681.23
16735,82054,3317,6545624.81
16736,82055,3317,6560568.4
16737,82056,3317,6575511.98
16738,82057,3317,6590455.57
16739,82058,3317,6605399.15
16740,82059,3317,6620342.74
16741,82060,3317,6635286.32
16742,82061,3317,6650229.9
16743,82062,3317,6665173.49
16744,82063,3317,6680117.07
16745,82064,3317,6695060.66
16746,82065,3317,6710004.24
16747,82066,3317,6724947.83
16748,82067,3317,6739891.41
16749,82068,3317,6754835
16750,82069,3317,6769778.58
16751,82070,3317,6784722.16
16752,82071,3317,6799665.75
16753,82072,3317,6814609.33
16754,82073,3317,6829552.92
16755,82074,3317,6844496.5
16756,82075,3317,6859440.09
16757,82076,3317,6874383.67
16758,82077,3317,6889327.26
16759,82078,3317,6904270.84
16760,82079,3317,6919214.42
16761,82080,3317,6934158.01
16762,82081,3317,6949101.59
16763,82082,3317,6964045.18
16764,82083,3317,6978988.76
16765,82084,3317,6993932.35
16766,82085,3317,7008875.93
16767,82086,3317,7023819.52
16768,82087,3317,7038763.1
16769,82088,3317,7053706.69
16770,82089,3317,7068650.27
16771,82090,3317,7083593.85
16772,82091,3317,7098537.44
16773,82092,3317,7113481.02
16774,82093,3317,7128424.61
16775,82094,3317,7143368.19
16776,82095,3317,7158311.78
16777,82096,3317,7173255.36
16778,82097,3317,7188198.95
16779,82098,3317,7203142.53
16780,82099,3317,7218086.11
16781,82100,3317,7233029.7
16782,82101,3317,7247973.28
16783,82102,3317,7262916.87
16784,82103,3317,7277860.45
16785,82104,3317,7292804.04
16786,82105,3317,7307747.62
16787,82106,3317,7322691.21
16788,82107,3317,7337634.79
16789,82108,3317,7352578.37
16790,82109,3317,7367521.96
16791,82110,3317,7382465.54
16792,82111,3317,7397409.13
16793,82112,3317,7412352.71
16794,82113,3317,7427296.3
16795,82114,3317,7442239.88
16796,82115,3317,7457183.47
16797,82116,3317,7472127.05
16798,82117,3317,7487070.63
16799,82118,3317,7502014.22
16800,82119,3317,7516957.8
16801,82120,3317,7531901.39
16802,82121,3317,7546844.97
16803,82122,3317,7561788.56
16804,82123,3317,7576732.14
16805,82124,3317,7591675.73
16806,82125,3317,7606619.31
16807,82126,3317,7621562.89
16808,82127,3317,7636506.48
16809,82128,3317,7651450.06
16810,82129,3317,7666393.65
16811,82130,3317,7681337.23
16812,82131,3317,7696280.82
16813,82132,3317,7711224.4
16814,82133,3317,7726167.99
16815,82134,3317,7741111.57
16816,82135,3317,7756055.15
16817,82136,3317,7770998.74
16818,82137,3317,7785942.32
16819,82138,3317,7800885.91
16820,82139,3317,7815829.49
16821,82140,3317,7830773.08
16822,82141,3317,7845716.66
16823,82142,3317,7860660.25
16824,82143,3317,7875603.83
16825,82144,3317,7890547.41
16826,82145,3317,7905491
16827,82146,3317,7920434.58
16828,82147,3317,7935378.17
16829,82148,3317,7950321.75
16830,82149,3317,7965265.34
16831,82150,3317,7980208.92
16832,82151,3317,7995152.51
16833,82152,3317,8010096.09
16834,82153,3317,8025039.67
16835,82154,3317,8039983.26
16836,82155,3317,8054926.84
16837,82156,3317,8069870.43
16838,82157,3317,8084814.01
16839,82158,3317,8099757.6
16840,82159,3317,8114701.18
16841,82160,3317,8129644.77
16842,82161,3317,8144588.35
16843,82162,3317,8159531.93
16844,82163,3317,8174475.52
16845,82164,3317,8189419.1
16846,82165,3317,8204362.69
16847,82166,3317,8219306.27
16848,82167,3317,8234249.86
16849,82168,3317,8249193.44
16850,82169,3317,8264137.03
16851,82170,3317,8279080.61
16852,82171,3317,8294024.19
16853,82172,3317,8308967.78
16854,82173,3317,8323911.36
16855,82174,3317,8338854.95
16856,82175,3317,8353798.53
16857,82176,3317,8368742.12
16858,82177,3317,8383685.7
16859,82178,3317,8398629.29
16860,82179,3317,8413572.87
16861,82180,3317,8428516.45
16862,82181,3317,8443460.04
16863,82182,3317,8458403.62
16864,82183,3317,8473347.21
16865,82184,3317,8488290.79
16866,82185,3317,8503234.38
16867,82186,3317,8518177.96
16868,82187,3317,8533121.55
16869,82188,3317,8548065.13
16870,82189,3317,8563008.71
16871,82190,3317,8577952.3
16872,82191,3317,8592895.88
16873,82192,3317,8607839.47
16874,82193,3317,8622783.05
16875,82194,3317,8637726.64
16876,82195,3317,8652670.22
16877,82196,3317,8667613.81
16878,82197,3317,8682557.39
16879,82198,3317,8697500.97
16880,82199,3317,8712444.56
16881,82200,3317,8727388.14
16882,82201,3317,8742331.73
16883,82202,3317,8757275.31
16884,82203,3317,8772218.9
16885,82204,3317,8787162.48
16886,82205,3317,8802106.07
16887,82206,3317,8817049.65
16888,82207,3317,8831993.23
16889,82208,3317,8846936.82
16890,82209,3317,8861880.4
16891,82210,3317,8876823.99
16892,82211,3317,8891767.57
16893,82212,3317,8906711.16
16894,82213,3317,8921654.74
16895,82214,3317,8936598.33
16896,82215,3317,8951541.91
16897,82216,3317,8966485.49
16898,82217,3317,8981429.08
16899,82218,3317,8996372.66
16900,82219,3317,9011316.25
16901,82220,3317,9026259.83
16902,82221,3317,9041203.42
16903,82222,3317,9056147
16904,82223,3317,9071090.59
16905,82224,3317,9086034.17
16906,82225,3317,9100977.75
16907,82226,3317,9115921.34
16908,82227,3317,9130864.92
16909,82228,3317,9145808.51
16910,82229,3317,9160752.09
16911,82230,3317,9175695.68
16912,82231,3317,9190639.26
16913,82232,3317,9205582.85
16914,82233,3317,9220526.43
16915,82234,3317,9235470.01
16916,82235,3317,9250413.6
16917,82236,3317,9265357.18
16918,82237,3317,9280300.77
16919,82238,3317,9295244.35
16920,82239,3317,9310187.94
16921,82240,3317,9325131.52
16922,82241,3317,9340075.11
16923,82242,3317,9355018.69
16924,82243,3317,9369962.27
16925,82244,3317,9384905.86
16926,82245,3317,9399849.44
16927,82246,3317,9414793.03
16928,82247,3317,9429736.61
16929,82248,3317,9444680.2
16930,82249,3317,9459623.78
16931,82250,3317,9474567.37
16932,82251,3317,9489510.95
16933,82252,3317,9504454.54
16934,82253,3317,9519398.12
16935,82254,3317,9534341.7
16936,82255,3317,9549285.29
16937,82256,3317,9564228.87
16938,82257,3317,9579172.46
16939,82258,3317,9594116.04
16940,82259,3317,9609059.63
16941,82260,3317,9624003.21
16942,82261,3317,9638946.8
16943,82262,3317,9653890.38
16944,82263,3317,9668833.96
16945,82264,3317,9683777.55
16946,82265,3317,9698721.13
16947,82266,3317,9713664.72
16948,82267,3317,9728608.3
16949,82268,3317,9743551.89
16950,82269,3317,9758495.47
16951,82270,3317,9773439.06
16952,82271,3317,9788382.64
16953,82272,3317,9803326.22
16954,82273,3317,9818269.81
16955,82274,3317,9833213.39
16956,82275,3317,9848156.98
16957,82276,3317,9863100.56
16958,82277,3317,9878044.15
16959,82278,3317,9892987.73
16960,82279,3317,9907931.32
16961,82280,3317,9922874.9
16962,82281,3317,9937818.48
16963,82282,3317,9952762.07
16964,82283,3317,9967705.65
16965,82284,3317,9982649.24
16966,82285,3317,9997592.82
16967,82286,3317,10012536.41
16968,82287,3317,10027479.99
16969,82288,3317,10042423.58
16970,82289,3317,10057367.16
16971,82290,3317,10072310.74
16972,82291,3317,10087254.33
16973,82292,3317,10102197.91
16974,82293,3317,10117141.5
16975,82294,3317,10132085.08
16976,82295,3317,10147028.67
16977,82296,3317,10161972.25
16978,82297,3317,10176915.84
16979,82298,3317,10191859.42
16980,82299,3317,10206803
16981,82300,3317,10221746.59
16982,82301,3317,10236690.17
16983,82302,3317,10251633.76
16984,82303,3317,10266577.34
16985,82304,3317,10281520.93
16986,82305,3317,10296464.51
16987,82306,3317,10311408.1
16988,82307,3317,10326351.68
16989,82308,3317,10341295.26
16990,82309,3317,10356238.85
16991,82310,3317,10371182.43
16992,82311,3317,10386126.02
16993,82312,3317,10401069.6
16994,82313,3317,10416013.19
16995,82314,3317,10430956.77
16996,82315,3317,10445900.36
16997,82316,3317,10460843.94
16998,82317,3317,10475787.52
16999,82318,3317,10490731.11
17000,82319,3317,10505674.69
17001,82320,3317,10520618.28
17002,82321,3317,10535561.86
17003,82322,3317,10550505.45
17004,82323,3317,10565449.03
17005,82324,3317,10580392.62
17006,82325,3317,10595336.2
17007,82326,3317,10610279.78
17008,82327,3317,10625223.37
17009,82328,3317,10640166.95
17010,82329,3317,10655110.54
17011,82330,3317,10670054.12
17012,82331,3317,10684997.71
17013,82332,3317,10699941.29
17014,82333,3317,10714884.88
17015,82334,3317,10729828.46
17016,82335,3317,10744772.04
17017,82336,3317,10759715.63
17018,82337,3317,10774659.21
17019,82338,3317,10789602.8
17020,82339,3317,10804546.38
17021,82340,3317,10819489.97
17022,82341,3317,10834433.55
17023,82342,3317,10849377.14
17024,82343,3317,10864320.72
17025,82344,3317,10879264.3
17026,82345,3317,10894207.89
17027,82346,3317,10909151.47
17028,82347,3317,10924095.06
17029,82348,3317,10939038.64
17030,82349,3317,10953982.23
17031,82350,3317,10968925.81
17032,82351,3317,10983869.4
17033,82352,3317,10998812.98
17034,82353,3317,11013756.56
17035,82354,3317,11028700.15
17036,82355,3317,11043643.73
17037,82356,3317,11058587.32
17038,82357,3317,11073530.9
17039,82358,3317,11088474.49
17040,82359,3317,11103418.07
17041,82360,3317,11118361.66
17042,82361,3317,11133305.24
17043,82362,3317,11148248.82
17044,82363,3317,11163192.41
17045,82364,3317,11178135.99
17046,82365,3317,11193079.58
17047,82366,3317,11208023.16
17048,82367,3317,11222966.75
17049,82368,3317,11237910.33
17050,82369,3317,11252853.92
17051,82370,3317,11267797.5
17052,82371,3317,11282741.08
17053,82372,3317,11297684.67
17054,82373,3317,11312628.25
17055,82374,3317,11327571.84
17056,82375,3317,11342515.42
17057,82376,3317,11357459.01
17058,82377,3317,11372402.59
17059,82378,3317,11387346.18
17060,82379,3317,11402289.76
17061,82380,3317,11417233.34
17062,82381,3317,11432176.93
17063,82382,3317,11447120.51
17064,82383,3317,11462064.1
17065,82384,3317,11477007.68
17066,82385,3317,11491951.27
17067,82386,3317,11506894.85
17068,82387,3317,11521838.44
17069,82388,3317,11536782.02
17070,82389,3317,11551725.6
17071,82390,3317,11566669.19
17072,82391,3317,11581612.77
17073,82392,3317,11596556.36
17074,82393,3317,11611499.94
17075,82394,3317,11626443.53
17076,82395,3317,11641387.11
17077,82396,3317,11656330.7
17078,82397,3317,11671274.28
17079,82398,3317,11686217.86
17080,82399,3317,11701161.45
17081,82400,3317,11716105.03
17082,82401,3317,11731048.62
17083,82402,3317,11745992.2
17084,82403,3317,11760935.79
17085,82404,3317,11775879.37
17086,82405,3317,11790822.96
17087,82406,3317,11805766.54
17088,82407,3317,11820710.12
17089,82408,3317,11835653.71
17090,82409,3317,11850597.29
17091,82410,3317,11865540.88
17092,82411,3317,11880484.46
17093,82412,3317,11895428.05
17094,82413,3317,11910371.63
17095,82414,3317,11925315.22
17096,82415,3317,11940258.8
17097,82416,3317,11955202.39
17098,82417,3317,11970145.97
17099,82418,3317,11985089.55
17100,82419,3317,12000033.14
17101,82420,3317,12014976.72
17102,82421,3317,12029920.31
17103,82422,3317,12044863.89
17104,82423,3317,12059807.48
17105,82424,3317,12074751.06
17106,82425,3317,12089694.65
17107,82426,3317,12104638.23
17108,82427,3317,12119581.81
17109,82428,3317,12134525.4
17110,82429,3317,12149468.98
17111,82430,3317,12164412.57
17112,82431,3317,12179356.15
17113,82432,3317,12194299.74
17114,82433,3317,12209243.32
17115,82434,3317,12224186.91
17116,82435,3317,12239130.49
17117,82436,3317,12254074.07
17118,82437,3317,12269017.66
17119,82438,3317,12283961.24
17120,82439,3317,12298904.83
17121,82440,3317,12313848.41
17122,82441,3317,12328792
17123,82442,3317,12343735.58
17124,82443,3317,12358679.17
17125,82444,3317,12373622.75
17126,82445,3317,12388566.33
17127,82446,3317,12403509.92
17128,82447,3317,12418453.5
17129,82448,3317,12433397.09
17130,82449,3317,12448340.67
17131,82450,3317,12463284.26
17132,82451,3317,12478227.84
17133,82452,3317,12493171.43
17134,82453,3317,12508115.01
17135,82454,3317,12523058.59
17136,82455,3317,12538002.18
17137,82456,3317,12552945.76
17138,82457,3317,12567889.35
17139,82458,3317,12582832.93
17140,82459,3317,12597776.52
17141,82460,3317,12612720.1
17142,82461,3317,12627663.69
17143,82462,3317,12642607.27
17144,82463,3317,12657550.85
17145,82464,3317,12672494.44
17146,82465,3317,12687438.02
17147,82466,3317,12702381.61
17148,82467,3317,12717325.19
17149,82468,3317,12732268.78
17150,82469,3317,12747212.36
17151,82470,3317,12762155.95
17152,82471,3317,12777099.53
17153,82472,3317,12792043.11
17154,82473,3317,12806986.7
17155,82474,3317,12821930.28
17156,82475,3317,12836873.87
17157,82476,3317,12851817.45
17158,82477,3317,12866761.04
17159,82478,3317,12881704.62
17160,82479,3317,12896648.21
17161,82480,3317,12911591.79
17162,82481,3317,12926535.37
17163,82482,3317,12941478.96
17164,82483,3317,12956422.54
17165,82484,3317,12971366.13
17166,82485,3317,12986309.71
17167,82486,3317,13001253.3
17168,82487,3317,13016196.88
17169,82488,3317,13031140.47
17170,82489,3317,13046084.05
17171,82490,3317,13061027.63
17172,82491,3317,13075971.22
17173,82492,3317,13090914.8
17174,82493,3317,13105858.39
17175,82494,3317,13120801.97
17176,82495,3317,13135745.56
17177,82496,3317,13150689.14
17178,82497,3317,13165632.73
17179,82498,3317,13180576.31
17180,82499,3317,13195519.89
17181,82500,3317,13210463.48
17182,82501,3317,13225407.06
17183,82502,3317,13240350.65
17184,82503,3317,13255294.23
17185,82504,3317,13270237.82
17186,82505,3317,13285181.4
17187,82506,3317,13300124.99
17188,82507,3317,13315068.57
17189,82508,3317,13330012.15
17190,82509,3317,13344955.74
17191,82510,3317,13359899.32
17192,82511,3317,13374842.91
17193,82512,3317,13389786.49
17194,82513,3317,13404730.08
17195,82514,3317,13419673.66
17196,82515,3317,13434617.25
17197,82516,3317,13449560.83
17198,82517,3317,13464504.41
17199,82518,3317,13479448
17200,82519,3317,13494391.58
17201,82520,3317,13509335.17
17202,82521,3317,13524278.75
17203,82522,3317,13539222.34
17204,82523,3317,13554165.92
17205,82524,3317,13569109.51
17206,82525,3317,13584053.09
17207,82526,3317,13598996.67
17208,82527,3317,13613940.26
17209,82528,3317,13628883.84
17210,82529,3317,13643827.43
17211,82530,3317,13658771.01
17212,82531,3317,13673714.6
17213,82532,3317,13688658.18
17214,82533,3317,13703601.77
17215,82534,3317,13718545.35
17216,82535,3317,13733488.93
17217,82536,3317,13748432.52
17218,82537,3317,13763376.1
17219,82538,3317,13778319.69
17220,82539,3317,13793263.27
17221,82540,3317,13808206.86
17222,82541,3317,13823150.44
17223,82542,3317,13838094.03
17224,82543,3317,13853037.61
17225,82544,3317,13867981.19
17226,82545,3317,13882924.78
17227,82546,3317,13897868.36
17228,82547,3317,13912811.95
17229,82548,3317,13927755.53
17230,82549,3317,13942699.12
17231,82550,3317,13957642.7
17232,82551,3317,13972586.29
17233,82552,3317,13987529.87
17234,82553,3317,14002473.45
17235,82554,3317,14017417.04
17236,82555,3317,14032360.62
17237,82556,3317,14047304.21
